key,label,signals
viabilidad,Viabilidad y gestion del modelo de negocio,funcionamiento|organizacion|sostenibilidad operativa|modelo de negocio|ventas
crecimiento,Potencial de crecimiento y escalabilidad,crecimiento|escalabilidad|expansion|fortalecimiento estrategico|acceso a mercados
liderazgo,Liderazgo de la emprendedora,liderazgo|decision|ejecucion|dirigir|equipo
compromiso,Compromiso y disposicion,compromiso|aprendizaje|disponibilidad|participacion|mentoria
claridad,Claridad y coherencia de la presentacion,propuesta de valor|estructura|claridad|vision de crecimiento|pitch
